Fiber ID,Column Number,Row Number,X location from centre of sky aperture in um,X location in mm,Y location from centre of sky aperture in um,Y location in mm,Radial distance from center of object bundle in mm ,X location in arcsec,Y location in arcsec,Non-telecentricity in arcmin,Non-telecentricity in degree,Radial distance in arcsec from center,Group
219,-6,-2,"-1,110",-18.410,-640,-0.640,18.42,-81.39606858,-2.829629761,103.16,0.2193333333,81.44523795,1
220,-4,-2,-740,-18.040,-640,-0.640,18.05,-79.76018888,-2.829629761,101.09,0.1848333333,79.81036608,1
221,-2,-2,-370,-17.670,-640,-0.640,17.68,-78.12430917,-2.829629761,99.02,0.1503333333,78.17553638,1
222,0,-2,0,-17.300,-640,-0.640,17.31,-76.48842947,-2.829629761,96.95,0.1158333333,76.54075154,1
223,2,-2,370,-16.930,-640,-0.640,16.94,-74.85254976,-2.829629761,94.88,0.08133333333,74.90601451,1
224,4,-2,740,-16.560,-640,-0.640,16.57,-73.21667006,-2.829629761,92.81,0.04683333333,73.27132849,1
225,6,-2,"1,110",-16.190,-640,-0.640,16.20,-71.58079035,-2.829629761,90.74,0.01233333333,71.63669696,1
226,7,-1,"1,295",-16.005,-320,-0.320,16.01,-70.7628505,-1.41481488,89.65,-0.005833333333,70.77699281,1
227,5,-1,925,-16.375,-320,-0.320,16.38,-72.3987302,-1.41481488,91.72,0.02866666667,72.41255303,1
228,3,-1,555,-16.745,-320,-0.320,16.75,-74.03460991,-1.41481488,93.79,0.06316666667,74.04812736,1
229,1,-1,185,-17.115,-320,-0.320,17.12,-75.67048961,-1.41481488,95.87,0.09783333333,75.68371489,1
230,"-1,00","-0,80",-185,-17.485,-256,-0.256,17.49,-77.30636932,-1.131851904,97.93,0.1321666667,77.31465467,1
231,-3,-1,-555,-17.855,-320,-0.320,17.86,-78.94224903,-1.41481488,100.01,0.1668333333,78.95492627,1
232,-5,-1,-925,-18.225,-320,-0.320,18.23,-80.57812873,-1.41481488,102.08,0.2013333333,80.59054864,1
233,-7,-1,"-1,295",-18.595,-320,-0.320,18.60,-82.21400844,-1.41481488,104.15,0.2358333333,82.22618126,1
234,-8,0,"-1,480",-18.780,0,0.000,18.78,-83.03194829,0,105.17,0.2528333333,83.03194829,1
235,-6,0,"-1,110",-18.410,0,0.000,18.41,-81.39606858,0,103.1,0.2183333333,81.39606858,1
236,-4,0,-740,-18.040,0,0.000,18.04,-79.76018888,0,101.03,0.1838333333,79.76018888,1
237,"-1,40","0,35",-259,-17.559,112,0.112,17.56,-77.63354526,0.4951852081,98.34,0.139,77.63512451,1
238,2,0,370,-16.930,0,0.000,16.93,-74.85254976,0,94.81,0.08016666667,74.85254976,1
239,4,0,740,-16.560,0,0.000,16.56,-73.21667006,0,92.74,0.04566666667,73.21667006,1
240,6,0,"1,110",-16.190,0,0.000,16.19,-71.58079035,0,90.67,0.01116666667,71.58079035,1
241,8,0,"1,480",-15.820,0,0.000,15.82,-69.94491065,0,88.6,-0.02333333333,69.94491065,1
242,7,1,"1,295",-16.005,320,0.320,16.01,-70.7628505,1.41481488,89.65,-0.005833333333,70.77699281,1
243,5,1,925,-16.375,320,0.320,16.38,-72.3987302,1.41481488,91.72,0.02866666667,72.41255303,1
244,3,1,555,-16.745,320,0.320,16.75,-74.03460991,1.41481488,93.79,0.06316666667,74.04812736,1
245,"0,40","0,80",74,-17.226,256,0.256,17.23,-76.16125353,1.131851904,96.48,0.108,76.16966343,1
246,-3,1,-555,-17.855,320,0.320,17.86,-78.94224903,1.41481488,100.01,0.1668333333,78.95492627,1
247,-5,1,-925,-18.225,320,0.320,18.23,-80.57812873,1.41481488,102.08,0.2013333333,80.59054864,1
248,-7,1,"-1,295",-18.595,320,0.320,18.60,-82.21400844,1.41481488,104.15,0.2358333333,82.22618126,1
249,6,2,"1,110",-16.190,640,0.640,16.20,-71.58079035,2.829629761,90.74,0.01233333333,71.63669696,1
250,4,2,740,-16.560,640,0.640,16.57,-73.21667006,2.829629761,92.81,0.04683333333,73.27132849,1
251,2,2,370,-16.930,640,0.640,16.94,-74.85254976,2.829629761,94.88,0.08133333333,74.90601451,1
252,0,"1,90",0,-17.300,608,0.608,17.31,-76.48842947,2.688148273,96.95,0.1158333333,76.53565172,1
253,2,2,370,-16.930,640,0.640,16.94,-74.85254976,2.829629761,94.88,0.08133333333,74.90601451,1
254,4,2,740,-16.560,640,0.640,16.57,-73.21667006,2.829629761,92.81,0.04683333333,73.27132849,1
255,6,2,"1,110",-16.190,640,0.640,16.20,-71.58079035,2.829629761,90.74,0.01233333333,71.63669696,1
